row_iter,kappa,r,g_r,g_r_err
1,1.0,0.06,0.0,0.0
2,1.0,0.18,0.0,0.0
3,1.0,0.3,0.0,0.0
4,1.0,0.42,0.0,0.0
5,1.0,0.54,3.145128824476649e-5,3.145128824476647e-5
6,1.0,0.66,0.00010293148880105408,4.891211331845888e-5
7,1.0,0.78,0.0004790273132664435,9.611146970129662e-5
8,1.0,0.9,0.0013398248792270539,0.00016655873350813333
9,1.0,1.02,0.0030470748081841462,0.0005259204727965612
10,1.0,1.1400000000000001,0.00522919050343249,0.00047552482079330773
11,1.0,1.2600000000000002,0.00993411404416841,0.0005198560194035539
12,1.0,1.38,0.0166760200063012,0.0008230999235588948
13,1.0,1.5,0.0272192028985507,0.0007771128839382694
14,1.0,1.62,0.0426164955716586,0.0009647101655844615
15,1.0,1.74,0.061619580834582785,0.001362358639152768
16,1.0,1.8599999999999999,0.091383239831697,0.0019332958169834614
17,1.0,1.98,0.12406675450153695,0.0020461219421612858
18,1.0,2.1,0.1643859989648037,0.002533131232279064
19,1.0,2.22,0.2107202311006658,0.0024224483834755727
20,1.0,2.3400000000000003,0.2689665784095127,0.003110446357198541
21,1.0,2.46,0.33031907255213977,0.0030895294804109577
22,1.0,2.58,0.40638428968655155,0.003085923519359116
23,1.0,2.7,0.4844064512882442,0.00419302983664162
24,1.0,2.8200000000000003,0.5700619603761954,0.004050636463873093
25,1.0,2.94,0.6538549523070096,0.004545501206327361
26,1.0,3.06,0.7420154429525423,0.004641356100601946
27,1.0,3.18,0.8256532847962813,0.0037187220943894423
28,1.0,3.3000000000000003,0.9034399703557308,0.004570968306074223
29,1.0,3.42,0.9762546084413966,0.004798471944869905
30,1.0,3.5399999999999996,1.0455383735568653,0.0034191398976650784
31,1.0,3.6599999999999997,1.0983485908172947,0.00394073378974131
32,1.0,3.78,1.156962596330803,0.004498651295502109
33,1.0,3.9,1.197603121516164,0.005718434807949817
34,1.0,4.02,1.2216896157797947,0.004414303437390916
35,1.0,4.140000000000001,1.2451551341629905,0.005059507562241819
36,1.0,4.26,1.2631005689936778,0.00471915677432607
37,1.0,4.38,1.2706557412646418,0.003405055144194545
38,1.0,4.5,1.262115036231883,0.0037562432920808147
39,1.0,4.62,1.2520476014022184,0.0034430851825196147
40,1.0,4.74,1.2394944734910995,0.0038519626061522282
41,1.0,4.86,1.21588933060476,0.003194552458632038
42,1.0,4.98,1.1850015551335853,0.003956502396788133
43,1.0,5.1,1.1546548646632555,0.0034983183760503326
44,1.0,5.220000000000001,1.1318429327003148,0.0038178742980442618
45,1.0,5.34,1.1048116654453648,0.004830537563001626
46,1.0,5.460000000000001,1.0797120112677183,0.004010744966378984
47,1.0,5.58,1.051153795582044,0.004635225243750422
48,1.0,5.7,1.019418025362324,0.0037754845961288997
49,1.0,5.82,0.9998669318691186,0.0030151526016365796
50,1.0,5.9399999999999995,0.9838792133289399,0.004577117087773671
51,1.0,6.0600000000000005,0.971823320239633,0.003539004029720908
52,1.0,6.18,0.9543902578443759,0.0034096711387462163
53,1.0,6.300000000000001,0.9514185429606618,0.0025699774659501177
54,1.0,6.42,0.9509626210551281,0.0029762626537639357
55,1.0,6.540000000000001,0.9522919159686194,0.0035338526248295827
56,1.0,6.66,0.9548075589176134,0.004663872977478595
57,1.0,6.780000000000001,0.9595587645889417,0.003888931674525611
58,1.0,6.9,0.9677432852867127,0.0032266841340523535
59,1.0,7.02,0.971842387433421,0.0026722368598836935
60,1.0,7.14,0.9891575516075978,0.0025245590025034896
61,1.0,7.26,1.001799429572404,0.0037524443680839654
62,1.0,7.38,1.0113951852833722,0.003672950645831013
63,1.0,7.5,1.0316394927536223,0.002567392210697316
64,1.0,7.62,1.033246141446994,0.002825949949307882
65,1.0,7.74,1.0510515847938415,0.0032111117221833075
66,1.0,7.86,1.0586741308496515,0.003191597401074515
67,1.0,7.98,1.067131568731609,0.0029025146277775003
68,1.0,8.100000000000001,1.075374060654857,0.0036102814733298717
